Architecture,Batchsize,Dropout,Epochs,Iteration,LearningRate,Length,Model,TestLoss,TrainLoss,Variables
8,20,0.0,300,114,0.0001,20,lstm,0.02388420001783919,0.002633190136389089,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,115,0.0001,20,lstm,0.023467060178518295,0.002629635225502744,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,116,0.0001,20,lstm,0.023642310644850454,0.0026247299785630853,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,117,0.0001,20,lstm,0.023731572793856744,0.002608375614880415,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,118,0.0001,20,lstm,0.022785685698611922,0.0026045234053996853,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,119,0.0001,20,lstm,0.02334251079297755,0.0025950691750771097,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,120,0.0001,20,lstm,0.0229461262758661,0.0025885614024494475,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,121,0.0001,20,lstm,0.023079769513119134,0.0025771568857574974,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,122,0.0001,20,lstm,0.022902831607948867,0.0025770644684139214,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,123,0.0001,20,lstm,0.022903493705696318,0.002562869303726331,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,124,0.0001,20,lstm,0.02348055640455856,0.00254477070372117,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,125,0.0001,20,lstm,0.022278934689639235,0.0025454096793935824,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,126,0.0001,20,lstm,0.02249765251162312,0.0025497397134132804,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,127,0.0001,20,lstm,0.022687581883523093,0.002534790987704648,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,128,0.0001,20,lstm,0.0222125222846385,0.0025217263540459394,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,129,0.0001,20,lstm,0.022138332862967767,0.002518564191312588,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,130,0.0001,20,lstm,0.02219361359984564,0.0025089281120033525,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,131,0.0001,20,lstm,0.022009901802546236,0.002515992058229191,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,132,0.0001,20,lstm,0.021468411788084014,0.00249590280643242,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,133,0.0001,20,lstm,0.021317247784526278,0.002495285236046951,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,134,0.0001,20,lstm,0.0214783155324278,0.002496908919746813,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,135,0.0001,20,lstm,0.021821389620703076,0.0024808040132919436,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,136,0.0001,20,lstm,0.022181007012184107,0.0024794026276583688,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
8,20,0.0,300,137,0.0001,20,lstm,0.0216011476242334,0.0024702845265445034,OilFM_ConNLDZNL_ElectricityPeakFM_EURUSDFX_ProdUKCS
